gender	age_group	patient_count
F	0-17	26
F	18-29	33
F	30-39	20
F	40-49	20
F	50-59	19
F	60-69	22
F	70-79	25
F	80+	26
M	0-17	32
M	18-29	30
M	30-39	25
M	40-49	21
M	50-59	27
M	60-69	24
M	70-79	25
M	80+	25
ethnicity	patient_count	percentage
hispanic	220	55.00
nonhispanic	180	45.00
race	gender	patient_count
asian	F	43
asian	M	45
black	F	31
black	M	47
native	F	38
native	M	41
other	F	36
other	M	39
white	F	43
white	M	37
total_patients	patients_with_death_date	share_with_death_date_pct
400	38	9.50
average_age_at_death	minimum_age_at_death	maximum_age_at_death
57.24	4	90
city	state	patient_count
Quincy	Massachusetts	73
Springfield	Massachusetts	70
Lowell	Massachusetts	68
Boston	Massachusetts	68
Cambridge	Massachusetts	64
Worcester	Massachusetts	57
county	state	patient_count
Quincy County	Massachusetts	73
Springfield County	Massachusetts	70
Lowell County	Massachusetts	68
Boston County	Massachusetts	68
Cambridge County	Massachusetts	64
Worcester County	Massachusetts	57
patient_id	age	encounter_count	first_encounter	last_encounter	months_between_first_and_last
52e974df-1b26-4711-bd7d-a5c98cda93b0	36	86	2011-09-17	2021-09-02	119
8e3c62bf-bc9e-4acd-b60f-fe09c936d60a	55	86	2011-11-22	2020-08-23	105
14088f65-7284-473d-9cbe-74b1e878d8c0	39	85	2012-10-10	2022-12-25	122
24cb358a-01d7-422e-a768-b0aefaf7bb98	65	83	2012-12-19	2021-10-23	106
55cc5c7c-28cc-42f8-9824-4984a65d60e4	35	82	2013-01-26	2022-12-19	118
a9fe494e-304c-4b39-b6ab-eff0cd1d19da	54	82	2011-05-29	2022-01-23	127
1a8193be-2f5e-4ff6-97bf-1e81dfef2eb6	92	75	2011-11-26	2022-10-29	131
3299c5a2-ba83-43e7-9e80-b24f491f0eed	15	73	2012-07-22	2020-06-13	94
98bdd2b8-6908-4ea0-a7f9-2e136a5bd0d0	21	72	2011-07-06	2018-08-11	85
3ab1534d-b981-4055-aefa-8e4e20985aac	4	72	2013-01-16	2020-03-22	86
b528bf5e-e21a-4503-b0b3-a9220817786c	52	69	2013-07-16	2021-04-09	92
3a03ce9e-1c91-4142-b88d-7439a9e02b64	45	69	2012-08-12	2021-06-24	106
2d4ddcff-e996-4ed1-920f-a28b0d77eb92	88	68	2013-05-07	2022-12-22	115
03d11260-aaaa-4602-a886-115ff9f4fbcd	92	65	2013-08-11	2021-11-17	99
fe3511b8-1282-4458-ba76-04eb2029bed0	26	65	2011-12-20	2018-09-07	80
encounter_range	patient_count
1	2
2-10	172
11-20	106
21-50	90
51+	28
average_encounters_per_patient	minimum_encounters	maximum_encounters
17.99	1	86
marital_status	patient_count	average_age	patients_with_death_date
M	145	50.29	15
	138	46.42	13
S	117	47.07	10
