encounter_class	cost_rank	procedure_description	procedure_count	average_base_cost	total_base_cost
ambulatory	1	Appendectomy	486	8743.39	4249285.21
ambulatory	2	Colonoscopy	512	2083.89	1066953.89
ambulatory	3	Renal dialysis	417	1214.57	506475.45
ambulatory	4	Blood transfusion	482	954.02	459837.72
ambulatory	5	Suture laceration	484	431.08	208640.92
emergency	1	Appendectomy	53	9051.64	479737.03
emergency	2	Colonoscopy	59	1984.40	117079.70
emergency	3	Renal dialysis	62	1206.93	74829.42
emergency	4	Blood transfusion	72	945.29	68060.82
emergency	5	Suture laceration	59	446.88	26366.07
inpatient	1	Appendectomy	33	8591.29	283512.56
inpatient	2	Colonoscopy	35	2107.21	73752.52
inpatient	3	Renal dialysis	36	1216.77	43803.89
inpatient	4	Blood transfusion	40	970.90	38835.87
inpatient	5	Suture laceration	34	445.77	15156.24
outpatient	1	Appendectomy	240	8782.82	2107877.10
outpatient	2	Colonoscopy	230	2064.65	474869.88
outpatient	3	Renal dialysis	234	1207.99	282670.59
outpatient	4	Blood transfusion	252	961.26	242236.93
outpatient	5	Suture laceration	263	422.26	111053.91
urgentcare	1	Appendectomy	154	8708.83	1341160.18
urgentcare	2	Colonoscopy	165	2091.80	345146.64
urgentcare	3	Renal dialysis	151	1158.07	174868.17
urgentcare	4	Blood transfusion	136	957.74	130252.45
urgentcare	5	Suture laceration	138	427.22	58955.95
wellness	1	Appendectomy	109	8464.87	922670.34
wellness	2	Colonoscopy	109	2010.47	219140.99
wellness	3	Blood transfusion	111	955.63	106074.68
wellness	4	Renal dialysis	90	1157.70	104193.12
wellness	5	Wound care	114	349.71	39867.07
payer_name	encounter_count	total_claim_cost	claim_rank	share_of_total_pct
Dual Eligible	993	1852889.81	1	14.34
NO_INSURANCE	911	1716222.01	2	13.29
Cigna	690	1289997.08	3	9.99
UnitedHealthcare	702	1279413.59	4	9.90
Medicaid	574	1192957.92	5	9.24
Blue Cross Blue Shield	684	1187354.77	6	9.19
Anthem	684	1156270.40	7	8.95
Humana	622	1124764.69	8	8.71
Medicare	600	1051177.17	9	8.14
Aetna	665	1014769.23	10	7.86
NULL	35	51456.87	11	0.40
month_start	encounter_count	monthly_claim_cost	cumulative_claim_cost	previous_month_encounters	encounter_change	moving_avg_3_months
2011-01-01	4	7397.47	7397.47	NULL	NULL	4.0
2011-02-01	13	42624.24	50021.71	4	9	8.5
2011-03-01	15	14749.48	64771.19	13	2	10.7
2011-04-01	48	72496.97	137268.16	15	33	25.3
2011-05-01	49	87826.83	225094.99	48	1	37.3
2011-06-01	46	71895.69	296990.68	49	-3	47.7
2011-07-01	55	93348.42	390339.10	46	9	50.0
2011-08-01	60	201142.96	591482.06	55	5	53.7
2011-09-01	68	159648.93	751130.99	60	8	61.0
2011-10-01	64	146534.82	897665.81	68	-4	64.0
2011-11-01	81	148103.18	1045768.99	64	17	71.0
2011-12-01	80	243263.84	1289032.83	81	-1	75.0
2012-01-01	96	156025.81	1445058.64	80	16	85.7
2012-02-01	83	124429.19	1569487.83	96	-13	86.3
2012-03-01	110	249950.62	1819438.45	83	27	96.3
2012-04-01	114	265156.12	2084594.57	110	4	102.3
2012-05-01	123	184193.08	2268787.65	114	9	115.7
2012-06-01	120	191892.40	2460680.05	123	-3	119.0
2012-07-01	114	209100.44	2669780.49	120	-6	119.0
2012-08-01	116	197511.11	2867291.60	114	2	116.7
2012-09-01	115	135618.72	3002910.32	116	-1	115.0
2012-10-01	121	172155.93	3175066.25	115	6	117.3
2012-11-01	125	220456.09	3395522.34	121	4	120.3
2012-12-01	165	275101.41	3670623.75	125	40	137.0
2013-01-01	144	223606.09	3894229.84	165	-21	144.7
2013-02-01	154	275985.40	4170215.24	144	10	154.3
2013-03-01	143	232923.78	4403139.02	154	-11	147.0
2013-04-01	136	238192.22	4641331.24	143	-7	144.3
2013-05-01	161	409898.62	5051229.86	136	25	146.7
2013-06-01	180	351133.78	5402363.64	161	19	159.0
2013-07-01	168	267816.62	5670180.26	180	-12	169.7
2013-08-01	167	316814.49	5986994.75	168	-1	171.7
2013-09-01	134	243021.27	6230016.02	167	-33	156.3
2013-10-01	127	190390.45	6420406.47	134	-7	142.7
2013-11-01	131	130143.01	6550549.48	127	4	130.7
2013-12-01	141	304546.43	6855095.91	131	10	133.0
2014-01-01	134	223371.46	7078467.37	141	-7	135.3
2014-02-01	98	166373.71	7244841.08	134	-36	124.3
2014-03-01	119	168004.52	7412845.60	98	21	117.0
2014-04-01	110	210742.92	7623588.52	119	-9	109.0
